Description,ASIN,Product Description,Manufacturer
" 100% Polyester, High Quality, Durable and Water Resistant Fabric   2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook   Front storage pocket keeps smaller items neatly organized and easy to access   Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects   Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight  ",B09B25Z8M2," 100% Polyester, High Quality, Durable and Water Resistant Fabric   2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook   Front storage pocket keeps smaller items neatly organized and easy to access   Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects   Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight  ",Safari Industries
" Outer Material: Polyester, Color: Black;Water resistant   Capacity: 21 liters; Dimensions: 32 cms x 14 cms x 46 cms (LxWxH)   Number of compartments: 3; Laptop Compatibility: Yes, Laptop Size: 15 inches   Warranty type: Manufacturer; 1 year   Closure Type: Zipper; Age Range Description: Adult  ",B07N8GRWTZ," Outer Material: Polyester, Color: Black;Water resistant   Capacity: 21 liters; Dimensions: 32 cms x 14 cms x 46 cms (LxWxH)   Number of compartments: 3; Laptop Compatibility: Yes, Laptop Size: 15 inches   Warranty type: Manufacturer; 1 year   Closure Type: Zipper; Age Range Description: Adult  ",Iff Overseas Pvt Ltd
" Outer Material: Polyester, Color: Black   Water Resistance: Water resistant   Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2   Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,   Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks  ",B075MK4TXP," Outer Material: Polyester, Color: Black   Water Resistance: Water resistant   Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2   Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,   Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks  ",Gear Merchandise PVT LTD
 Laptop bag fits upto 17.3 inch laptop  ,B098QFF5TJ, Laptop bag fits upto 17.3 inch laptop  ,Wesley
" Strong stitching at major stress points provide long-lasting durability against daily activities   Mesh side water bottle pocket. Adjustable shoulder strap.   Main large compartment with double zip closure. Tough high durability fabric   High quality double zippers, easy to access. Highly water-resistant finish to save inner items from water splashes   Comes in attractive color combinations.  ",B07FWQ9HRV," Strong stitching at major stress points provide long-lasting durability against daily activities   Mesh side water bottle pocket. Adjustable shoulder strap.   Main large compartment with double zip closure. Tough high durability fabric   High quality double zippers, easy to access. Highly water-resistant finish to save inner items from water splashes   Comes in attractive color combinations.  ",Freewill Sports Private Limited
" Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex   Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps   Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks   Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket   Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry  ",," Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex   Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps   Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks   Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket   Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry  ","Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039"
" Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.   Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)   Number of compartments: 1; Compatible Laptop Size : 15.4   Warranty Type: Manufacturer; 1 Year from the date of purchase   Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper  ",B019HA8AYG," Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.   Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)   Number of compartments: 1; Compatible Laptop Size : 15.4   Warranty Type: Manufacturer; 1 Year from the date of purchase   Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper  ",Gear Merchandise PVT LTD
 Large sized black and grey colour trekking rucksack for men and women for travel use as well as for trendy college and school students. Huge compartment size that can fit upto several pairs of clothes with ease with separate pocket for shoesMultiple pockets for other accessories and water bottle   External clips to hold a yoga mat on the backside available with this rucksack. Also available on both sides of the rucksack are additional clips which can be used to carry camera stands as well as other climbing equipments   The rucksack features a sleek and ergonomic design with a balanced weight distribution through its shoulder straps and waist strapsThis makes this product a suitable alternative to bulky and unsightly rucksacksThe compact design of this trekking bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease   Capacity: 55 L ; weight: 700 grams; dimensions: 35 cms x 25 cms x 65 cms (LxWxH); 1 Year manufacturer warranty against defects; Lining Description: Polyester; Special Features: Back Padding; Pocket Description: Utility Pocket; Style Name: Rucksack Backpacks; Closure Type: Zipper; Age Range Description: Adult; Color Name: Black Grey   Water Resistance Level: Water Resistant; Warranty Description: 1 Year Manufacturer Warranty Against Defects Only  ,B07YDGQQN5, Large sized black and grey colour trekking rucksack for men and women for travel use as well as for trendy college and school students. Huge compartment size that can fit upto several pairs of clothes with ease with separate pocket for shoesMultiple pockets for other accessories and water bottle   External clips to hold a yoga mat on the backside available with this rucksack. Also available on both sides of the rucksack are additional clips which can be used to carry camera stands as well as other climbing equipments   The rucksack features a sleek and ergonomic design with a balanced weight distribution through its shoulder straps and waist strapsThis makes this product a suitable alternative to bulky and unsightly rucksacksThe compact design of this trekking bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease   Capacity: 55 L ; weight: 700 grams; dimensions: 35 cms x 25 cms x 65 cms (LxWxH); 1 Year manufacturer warranty against defects; Lining Description: Polyester; Special Features: Back Padding; Pocket Description: Utility Pocket; Style Name: Rucksack Backpacks; Closure Type: Zipper; Age Range Description: Adult; Color Name: Black Grey   Water Resistance Level: Water Resistant; Warranty Description: 1 Year Manufacturer Warranty Against Defects Only  ,Fur Jaden
" Outer Material: Polyester, Inner Material: Polyester, Color: Navy Blue and Beige; Anti-sweat fabric on inner-side of shoulder straps   Wear Resistant: Wearproof, Water Resistance: waterproofDimensions: 32 cms x 18 cms x 47 cms (LxWxH)   Capacity: 26 liters, Weight: 0.534 Kg   Number of compartments: 3; Strap Type: Adjustable   Age Range Description: Adult; Pocket Description: Utility Pocket; Style Name: Traditional Backpacks; Closure Type: Zipper; Special Features: Back Padding  ",B00VWM11HQ," Outer Material: Polyester, Inner Material: Polyester, Color: Navy Blue and Beige; Anti-sweat fabric on inner-side of shoulder straps   Wear Resistant: Wearproof, Water Resistance: waterproofDimensions: 32 cms x 18 cms x 47 cms (LxWxH)   Capacity: 26 liters, Weight: 0.534 Kg   Number of compartments: 3; Strap Type: Adjustable   Age Range Description: Adult; Pocket Description: Utility Pocket; Style Name: Traditional Backpacks; Closure Type: Zipper; Special Features: Back Padding  ",Gear Merchandise PVT LTD
" ?MADE IN INDIA - This “MAKE IN INDIA” Product features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls. In deed a perfect all rounder backpack for men, school bag for boys and girls, College bag for boys and girls.    Compartment Description: Up To 15 Inches; Style Name: Casual Backpack   ",B08YZ8FFBZ," ?MADE IN INDIA - This “MAKE IN INDIA” Product features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls. In deed a perfect all rounder backpack for men, school bag for boys and girls, College bag for boys and girls.    Compartment Description: Up To 15 Inches; Style Name: Casual Backpack   ","Akshaya Rubbers, Hebbal Industrial Area, Mysore"
" SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This Backpack has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. It also comes with a Rain cover so that you can travel during rainy season without any problem. This backpack be used by everyone be it men? , women? , boys , girls.    SMART & TRENDY LOOKS: This Large rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack bacpack looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack.    ENDURING & LONG LASTING: This trekking backpack bag is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.;Age Range Description: Adult; Pocket Description: Utility Pocket; Style Name: Casual    OTHER FEATURES: Rain Cover, 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc   ",B0BJ32LQ6X," SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This Backpack has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. It also comes with a Rain cover so that you can travel during rainy season without any problem. This backpack be used by everyone be it men? , women? , boys , girls.    SMART & TRENDY LOOKS: This Large rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack bacpack looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack.    ENDURING & LONG LASTING: This trekking backpack bag is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.;Age Range Description: Adult; Pocket Description: Utility Pocket; Style Name: Casual    OTHER FEATURES: Rain Cover, 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc   ",Amazing Bags
